"cd","clst_type","arima_rse","rf_rse","gbm_rse","svr_rse","enn_rse","jnn_rse","min_rse","best_model"
"ZG327PA-60","A",25.9707082333763,8.14927862915204,23.0019256987355,11.7032045935508,23.3567589317312,25.2875795271288,8.14927862915204,"rf"
"ZG227LA-60","A",8.54400374531753,2.6078414304356,1.56626600675322,3.78729883052276,8.5124477946877,12.0586208201181,1.56626600675322,"gbm"
"ZG227A-54","A",32.0489331751309,9.83193893851773,15.8629611268592,14.8300819266639,22.6792324613569,19.019280315958,9.83193893851773,"rf"
"ZG222A-48","A",36.3183427034298,11.749899354179,6.82458080907137,8.28120140789897,9.1548877892942,27.5664873271232,6.82458080907137,"gbm"
"ZD326S-60","A",87.4347900361411,50.7734576699429,67.131123938192,41.5502925950001,88.4430137423276,83.9290156546914,41.5502925950001,"svr"
"ZD326P-60","A",325.350580143943,216.056720596827,276.437016201655,214.617285269174,295.036026982252,291.908222551355,214.617285269174,"svr"
"ZD326HL-72","E",189.284177888847,120.539321425879,143.858445359291,65.2853981230235,90.9806866593555,94.648950856571,65.2853981230235,"svr"
"ZD323-60","A",62.0700105638246,45.8570312864119,52.3041222637176,46.035770917856,57.1705696555591,81.7784262170358,45.8570312864119,"rf"
"ZD221-54","A",98.3107318658549,59.8155904286976,66.5152049059841,59.0710113104934,74.0890077049477,89.8420273773408,59.0710113104934,"svr"
"Z725KH-60","A",294.37212153438,64.8808833506505,107.274223790999,67.367171678357,76.3629998606888,82.0541147287171,64.8808833506505,"rf"
"Z724KH-54","A",92.168324276836,44.6915213248762,56.9131193572651,37.4254419242497,65.5278715797778,67.9323048051167,37.4254419242497,"svr"
"Z723KH-48","A",35.221168188183,15.7832772819607,34.3896594075076,11.3684258796431,49.9036008025558,38.2054869284552,11.3684258796431,"svr"
"Z125SKH-54","E",586.87747827119,106.909793422147,51.7376621104641,238.110009025609,100.482462593606,475.125751174624,51.7376621104641,"gbm"
"Z125EBR-54","E",80.0593529826466,30.2026947745837,28.2887503954075,46.6762954200892,55.545576364224,130.31005643155,28.2887503954075,"gbm"
"Z122EBR-48","E",238.706933288499,30.3866014508222,51.2273541775748,37.1816202705857,71.8488217310534,159.152436852764,30.3866014508222,"rf"
"Z121SKH-48","E",433.873829586436,65.0152889026958,18.8772545315713,232.989408333567,67.4761976605173,462.267512434136,18.8772545315713,"gbm"
"U17VR1","B",13.7929606858787,14.456738414612,19.5209499309342,20.9220059547188,58.0244088091286,30.5221495314246,13.7929606858787,"arima"
"T2080A2-42","E",18.6010752377383,20.2176867090472,14.7091194591596,23.6878052933041,14.1163374737715,11.3322728581236,11.3322728581236,"jnn"
"T1880A2-42","E",5.04975246918104,19.0199767807332,18.4253796164623,16.0657728039475,8.32444570660442,6.1978253969402,5.04975246918104,"arima"
"SVL90-2HFC","C",60.4203991594943,67.358195500149,41.3439544061554,98.0041241771857,156.788082911891,130.465193261777,41.3439544061554,"gbm"
"SVL90-2HC","C",50.012656347356,31.5184019249719,31.2576808529653,32.2504322906775,43.8344876902204,46.7051589566332,31.2576808529653,"gbm"
"SVL75-2W","B",17.8001053367667,18.9226745537572,25.4501244733023,31.4246977158624,69.4879370734241,53.5584963731063,17.8001053367667,"arima"
"SVL75-2HWC","B",17.8502843972422,23.7013772858284,49.4581318793988,46.0506150703394,47.822106695207,40.8880732300675,17.8502843972422,"arima"
"RTV500R-A","C",14.6116391962025,7.40459472192272,8.95912238574208,10.0614880170165,27.718660184534,30.8656398493772,7.40459472192272,"rf"
"RTV500-H","B",38.8993451669637,12.2122115242019,14.3290083462162,22.198411820283,29.7891479147238,25.7699209436052,12.2122115242019,"rf"
"RTV500-A","B",12.9714690482744,11.4589472343828,14.0261426689182,12.7438671052362,13.5935237476233,16.0509223783544,11.4589472343828,"rf"
"RTV400CIR-A","C",10.8695631179972,2.4529199632124,4.22881075141415,3.63059074559936,6.11559548936406,12.789794468885,2.4529199632124,"rf"
"RTV400CI-H","C",24.2074368738204,13.7284115890287,13.7638281331828,16.4052122415262,18.5031755597013,16.364291574716,13.7284115890287,"rf"
"RTV400CI-A","C",8.69618135400231,10.2894779966578,6.70147624630434,6.57580696870438,5.37379724133443,53.0386657901373,5.37379724133443,"enn"
"RTV1140CPX-H","C",52.7304466129389,101.983328969754,112.297182868425,90.3715036944964,196.066101918628,181.989426021339,52.7304466129389,"arima"
"RTV-X900WL-H","C",31.9761332792821,22.8625777500651,23.5140178972891,29.4736260522388,20.2549689960625,16.4743826608116,16.4743826608116,"jnn"
"RTV-X900WL-A","C",18.5741756210067,11.0095355597033,13.6255361479973,11.1070667392729,23.6382866534234,23.6257892316063,11.0095355597033,"rf"
"RTV-X900W-H","B",65.0866515356602,44.8645858488713,47.7447342362222,52.651619945291,57.2380892612754,59.1320152446384,44.8645858488713,"rf"
"RTV-X900W-A","B",11.755731871507,4.3197498847777,6.60360504055586,6.69713174435397,15.1341324271364,16.1403465419095,4.3197498847777,"rf"
"RTV-X900RL-A","C",14.7494535226777,5.00582252348869,4.62219245409394,5.03301347266206,17.8757718065172,23.6066542816035,4.62219245409394,"gbm"
"RTV-X900R-A","C",10.8857705285386,7.51416773869105,7.56690877537183,8.08994092665064,16.398231320954,9.77142114585527,7.51416773869105,"rf"
"RTV-X900G-H","B",104.928105898312,54.1989297538245,28.5510242639614,26.1665171041703,127.344034799007,70.7830839849737,26.1665171041703,"svr"
"RTV-X900G-A","C",18.349268420275,8.93872174938695,9.10942138838144,9.45800225307877,19.8112438963777,31.3707974420612,8.93872174938695,"rf"
"RTV-X1120DWL-HS","C",12.6688594593199,6.80379141073124,4.64281880108173,4.6028219618225,26.3039662017357,7.96856451542245,4.6028219618225,"svr"
"RTV-X1120DWL-AS","C",25.6417628099162,19.5120881621283,17.4336708194475,20.98829273309,38.5588434811293,32.374920023773,17.4336708194475,"gbm"
"RTV-X1120DRL-AS","C",11.8691134835448,11.5121310977048,9.54557685932967,8.63675815411244,4.69805231373552,79.884772679829,4.69805231373552,"enn"
"RTV-X1100CWL-HS","C",11.0985108549984,14.1579559530244,11.3981515533407,14.7580481919243,28.1549524407777,21.2565589839918,11.0985108549984,"arima"
"RTV-X1100CWL-H","C",46.0325971459356,30.987068747983,40.7519814894539,32.4145414178629,22.9477532969471,91.7346993839251,22.9477532969471,"enn"
"RTV-X1100CWL-A","C",25.2710565188111,12.8853541442729,12.1442842228115,11.2329465101133,15.0948756953617,28.7603092792349,11.2329465101133,"svr"
"RTV-X1100CW-H","C",34.721572615235,20.2730693169352,20.9081988060837,24.8337654270769,36.7901136540403,40.3571839329266,20.2730693169352,"rf"
"RTV-X1100CRL-A","C",17.5783958312469,14.5409028506817,9.43212139816106,13.9381661753159,4.79274877211302,13.0367918990815,4.79274877211302,"enn"
"MX5200HST","D",36.4585103244902,20.5845739531294,22.4214928423342,26.6881407572033,56.856382240649,37.3533555379357,20.5845739531294,"rf"
"MX5200DT","D",28.8205661431681,11.6427432534414,15.3457043966902,4.97218254922052,59.6811566763496,125.12850852334,4.97218254922052,"svr"
"MX4800HST","D",17.9025137899348,18.7945531303718,17.1556605315076,20.1716337712356,26.1268740067183,28.0638998472662,17.1556605315076,"gbm"
"MX4800DT","D",10.3569258851919,4.01717264065347,9.0425624070953,2.78690807928982,10.5059635709347,12.498638227943,2.78690807928982,"svr"
"M7060HDC12","B",8.59036213749734,21.38138711985,21.3231995613398,22.2022141711597,31.5463017801761,29.2732776043704,8.59036213749734,"arima"
"M7060HDC","B",38.2970590009125,31.5167431722497,37.540122305367,37.6685358969576,18.936672154631,19.449490250107,18.936672154631,"enn"
"M7060HD12","B",13.567421648707,15.186134565171,18.8470861408412,20.2986435675757,12.9535162125333,41.4826308494851,12.9535162125333,"enn"
"M7060HD","B",17.1494035119382,37.4899196182071,35.8224719389901,47.394123767556,55.1093196053324,20.2508979326258,17.1494035119382,"arima"
"M6060HDC","B",11.9047052710795,14.5611243222798,15.713710790266,18.8879144637292,7.83233422241875,10.3731702015021,7.83233422241875,"enn"
"M6060HD","B",16.4477988408396,12.6456997286591,13.8319082948238,16.2866783662346,11.7535638034972,14.5924229553384,11.7535638034972,"enn"
"M135GXDTC-F","C",24.4659526194182,17.6615561888485,20.5049515773069,11.7877466896974,23.2322904706436,114.261319659389,11.7877466896974,"svr"
"L6060HSTC","B",8.08605250459236,14.1552312088081,17.555530793963,25.5001997372623,30.7835773720395,15.9270258490097,8.08605250459236,"arima"
"L4701HST","D",78.5143299022421,29.7878763383821,36.2891482499958,43.4802464561807,68.0780541657471,143.959630892736,29.7878763383821,"rf"
"L4701DT","D",77.7881739113494,24.7905770387923,19.4943579282815,22.3459002389363,146.507298229139,139.25727941669,19.4943579282815,"gbm"
"L4060HSTC","B",7.8649467021663,6.49118159742438,5.73513491327781,6.13918906603555,11.6498173706093,9.15901373612049,5.73513491327781,"gbm"
"L3901HST","D",210.045233223469,74.4426834079526,62.6000038149949,90.4722061867447,273.8644320113,345.817461800618,62.6000038149949,"gbm"
"L3901DT","D",110.281458096829,27.0546789459792,18.5960290346171,39.3874552767725,103.900447987996,265.725195878907,18.5960290346171,"gbm"
"L3560HSTC","B",9.37270823595556,7.74844289614462,8.69078114655963,3.87990573806312,25.3932543584214,12.9883230769462,3.87990573806312,"svr"
"L3560HST","B",23.1658468998088,6.46279566390068,7.39907239770216,4.01673565552952,24.4363210860724,30.3888936191368,4.01673565552952,"svr"
"L3301HST","D",43.8292140015661,92.5544991872294,114.703506404812,110.58767423105,181.382934205993,389.740260926067,43.8292140015661,"arima"
"L3301DT","D",48.6775102073932,35.4457793041815,24.2566842258319,35.4123801869531,75.1739282583218,172.299556499282,24.2566842258319,"gbm"
"KX91R1AS2","B",14.7817454990945,4.13582779075904,2.84977747795439,3.7234132635509,8.5917635377204,12.4416237727487,2.84977747795439,"gbm"
"KX71-3S4R1","B",28.6332174368563,24.0398074966564,28.4039870522449,29.3082950902741,30.8888780281299,30.2095821337938,24.0398074966564,"rf"
"KX080-4R3A","B",9.53781931829784,4.85398685503875,5.71759706235761,5.54299453498064,10.919171397542,9.949906974748,4.85398685503875,"rf"
"KX040-4R1A","B",5.59134269596639,1.6892236141253,7.39009317493158,4.83828761441908,14.6650809815913,7.41839927193274,1.6892236141253,"rf"
"KX018-4R1","B",17.1485057745619,10.6682967124473,13.328091720808,12.7559357991661,27.7312111538565,21.7351580467219,10.6682967124473,"rf"
"K008T4","B",31.659452176014,24.4483323264405,25.3910566663088,26.2914807966774,25.7594901621931,25.8061761534148,24.4483323264405,"rf"
"GR2120-2-54","E",45.7930125809369,55.4187190949753,62.879524148163,64.2011103556857,21.0039424400435,28.2779203896169,21.0039424400435,"enn"
"F3990","B",29.1542409088136,20.1082468399668,23.3371488361235,22.0568916172869,18.4181690577319,30.8422360316463,18.4181690577319,"enn"
"BX2670TV60-1","E",11.9610244574024,9.69140925734403,2.78355303445465,2.42516188162887,55.8461216877127,32.5803547078286,2.42516188162887,"svr"
"BX2670RV60-1","E",12.383462499684,40.5058097627251,42.3181273620083,20.5476357692078,145.664449178776,234.615730036923,12.383462499684,"arima"
"BX2670RV-1","E",20.7549720038792,2.20391421028507,12.3386706853603,9.71817655261056,60.7816725237923,93.6253731831928,2.20391421028507,"rf"
"BX25DLB-T-1","E",4.70339250129224,15.0803839365851,12.5731193821352,16.9889166569031,24.7118782666047,26.0640739073936,4.70339250129224,"arima"
"BX25DLB-R-1","E",406.301951421094,192.649940451135,139.253387601499,189.065743506755,188.206283534854,387.848383975272,139.253387601499,"gbm"
"BX2370V-1","E",56.043111639813,22.5416777978449,20.2901295200039,43.5467695170101,111.564422996781,230.824356666939,20.2901295200039,"gbm"
"BX2370TV60-1","E",39.5400155869982,16.3390169942538,17.3469436698826,12.529639306256,198.334823518812,213.053809766038,12.529639306256,"svr"
"BX2370RV60-1","E",35.6764224424195,18.310825946003,19.4464344476827,29.2940064924303,239.099044411903,352.64794355837,18.310825946003,"rf"
"BX2370RV-1","E",27.8974332708413,16.0115923070917,38.5209334379597,20.4279022882799,134.581813529113,210.246635202461,16.0115923070917,"rf"
"BX1870V-1","E",43.1566912539786,26.3488524315225,29.0529547575397,39.2593122076564,101.526926276601,91.4861778545706,26.3488524315225,"rf"
"BX1870TV54-1","E",57.5072000763561,20.7293371464033,7.806914070499,33.8941672824771,62.4704024927177,133.51044525022,7.806914070499,"gbm"
"B3350SUHSD","D",15.0665191733194,3.470430473939,2.88906682726357,4.82656514906881,20.275365612097,17.9458523439556,2.88906682726357,"gbm"
"B3350HSDC","B",23.7265994940713,9.34875623175302,10.003155421378,9.45511261088336,12.0911027025144,12.3438933588889,9.34875623175302,"rf"
"B3350HSD","E",36.8035324391334,9.78681919934865,5.95963372355989,10.0171824205758,65.6279147825543,75.5534505671742,5.95963372355989,"gbm"
"B2650HSDC","B",7.99904885931049,3.01470202728786,1.3061730148424,3.57254532290313,23.3126966799144,13.3857049862901,1.3061730148424,"gbm"
"B2650HSD","E",40.4518537880627,60.708539523167,80.0850254290551,78.4059760924366,203.791707281107,360.297237076039,40.4518537880627,"arima"
"B26","B",39.1168784262605,41.9744080708975,40.2629508664073,38.3214482097856,37.2428037754455,40.2197514448769,37.2428037754455,"enn"
